TStamp Europe/Helsinki	X [m/s²]	Y [m/s²]	Z [m/s²]
1570546292205	0,294199	0,078453	9,906593
1570546292210	0,411879	0,196133	10,023134
1570546292215	0,294199	0,156906	10,023134
1570546292220	0,294199	0,117680	9,984290
1570546292225	0,333426	0,039227	9,984290
1570546292230	0,294199	0,039227	9,945437
1570546292235	0,294199	0,078453	9,984290
1570546292240	0,294199	0,078453	9,984290
1570546292245	0,372653	0,039227	9,984290
1570546292250	0,333426	0,078453	9,945437
1570546292255	0,333426	0,078453	9,906593
1570546292260	0,372653	0,000000	9,984290
1570546292265	0,215746	-0,039227	9,984290
1570546292270	0,294199	0,000000	9,984290
1570546292275	0,294199	0,078453	9,906593
1570546292280	0,372653	0,039227	9,984290
1570546292285	0,294199	0,078453	9,945437
1570546292290	0,372653	0,039227	9,906593
1570546292295	0,411879	0,000000	9,906593
1570546292299	0,333426	-0,039227	9,906593
1570546292304	0,372653	0,000000	9,906593
1570546292309	0,411879	0,039227	9,906593
1570546292314	0,294199	0,078453	10,061987
1570546292319	0,294199	0,078453	10,023134
1570546292324	0,254973	0,039227	9,984290
1570546292329	0,254973	0,039227	9,906593
1570546292334	0,333426	0,078453	9,984290
1570546292339	0,215746	0,156906	9,945437
1570546292344	0,254973	0,156906	9,945437
1570546292349	0,254973	0,117680	9,984290
1570546292354	0,333426	0,117680	9,867741
1570546292359	0,333426	0,078453	9,906593
1570546292364	0,333426	0,000000	9,945437
1570546292369	0,372653	-0,078453	9,906593
1570546292374	0,372653	0,078453	9,984290
1570546292379	0,254973	0,117680	9,945437
1570546292384	0,215746	0,078453	10,023134
1570546292389	0,333426	0,039227	9,984290
1570546292394	0,333426	0,039227	9,945437
1570546292399	0,451106	0,117680	9,906593
1570546292404	0,372653	0,117680	9,945437
1570546292409	0,294199	0,117680	9,945437
1570546292414	0,372653	0,078453	9,984290
1570546292419	0,294199	0,078453	10,023134
1570546292424	0,372653	0,039227	10,023134
1570546292429	0,411879	0,000000	9,984290
1570546292433	0,372653	0,000000	10,023134
1570546292438	0,372653	0,039227	10,023134
1570546292443	0,294199	0,039227	10,100849
1570546292448	0,333426	0,039227	10,100849
1570546292453	0,333426	0,078453	10,100849
1570546292458	0,254973	0,078453	10,023134
1570546292463	0,254973	0,039227	9,984290
1570546292468	0,254973	0,156906	9,906593
1570546292473	0,372653	0,117680	9,945437
1570546292478	0,333426	0,156906	9,906593
1570546292483	0,333426	0,078453	9,867741
1570546292488	0,254973	0,078453	9,945437
1570546292493	0,333426	0,039227	9,984290
1570546292498	0,294199	0,078453	9,945437
1570546292503	0,372653	0,039227	9,984290
1570546292508	0,372653	0,078453	9,984290
1570546292513	0,333426	0,078453	9,984290
1570546292518	0,411879	0,078453	10,023134
1570546292523	0,333426	0,117680	10,100849
1570546292528	0,333426	0,039227	9,945437
1570546292533	0,333426	0,078453	9,945437
1570546292538	0,333426	0,078453	9,984290
1570546292543	0,254973	0,078453	10,023134
1570546292548	0,254973	0,039227	10,023134
1570546292553	0,215746	0,078453	10,023134
1570546292558	0,333426	0,000000	9,984290
1570546292563	0,254973	0,039227	9,984290
1570546292567	0,254973	0,000000	10,023134
1570546292572	0,215746	0,039227	9,984290
1570546292577	0,333426	0,078453	9,984290
1570546292582	0,294199	0,078453	9,984290
1570546292587	0,294199	0,078453	9,945437
1570546292592	0,451106	0,078453	9,945437
1570546292597	0,372653	0,000000	9,906593
1570546292602	0,254973	0,039227	9,906593
1570546292607	0,176520	0,039227	9,945437
1570546292612	0,254973	0,039227	9,984290
1570546292617	0,294199	0,196133	9,984290
1570546292622	0,294199	0,156906	9,867741
1570546292627	0,372653	0,156906	9,945437
1570546292632	0,333426	0,156906	9,945437
1570546292637	0,254973	0,000000	9,945437
1570546292642	0,333426	0,000000	9,945437
1570546292647	0,254973	0,000000	9,906593
1570546292652	0,294199	0,039227	9,906593
1570546292657	0,333426	0,156906	9,906593
1570546292662	0,294199	0,078453	9,906593
1570546292667	0,294199	0,039227	9,945437
1570546292672	0,411879	0,117680	9,906593
1570546292677	0,411879	0,117680	9,984290
1570546292682	0,333426	0,039227	10,061987
1570546292687	0,294199	0,039227	10,023134
1570546292692	0,411879	0,078453	10,023134
1570546292697	0,333426	0,078453	9,984290
1570546292702	0,294199	0,039227	10,023134
1570546292706	0,372653	0,039227	9,984290
1570546292711	0,333426	0,117680	9,867741
1570546292716	0,333426	0,039227	9,984290
1570546292721	0,333426	0,000000	9,867741
1570546292726	0,294199	-0,039227	9,984290
1570546292731	0,254973	0,039227	9,867741
1570546292736	0,294199	0,039227	9,945437
1570546292741	0,294199	0,078453	10,023134
1570546292746	0,333426	-0,039227	10,100849
1570546292751	0,372653	0,000000	10,100849
1570546292756	0,411879	-0,039227	10,061987
1570546292761	0,372653	0,039227	9,945437
1570546292766	0,294199	0,000000	10,023134
1570546292771	0,372653	-0,117680	10,023134
1570546292776	0,411879	0,000000	10,061987
1570546292781	0,411879	0,000000	10,023134
1570546292786	0,372653	0,039227	10,023134
1570546292791	0,333426	0,078453	9,984290
1570546292796	0,254973	0,039227	10,023134
1570546292801	0,215746	0,000000	9,906593
1570546292806	0,333426	0,039227	9,906593
1570546292811	0,215746	0,156906	9,906593
1570546292816	0,294199	0,117680	9,945437
1570546292821	0,372653	0,039227	10,023134
1570546292826	0,411879	0,000000	10,061987
1570546292831	0,333426	-0,039227	10,061987
1570546292836	0,254973	0,078453	9,906593
1570546292840	0,215746	0,117680	9,828897
1570546292845	0,294199	0,117680	9,945437
1570546292850	0,294199	0,156906	9,867741
1570546292855	0,372653	0,000000	9,945437
1570546292860	0,372653	0,078453	9,906593
1570546292865	0,372653	0,078453	10,023134
1570546292870	0,372653	0,000000	9,906593
1570546292875	0,333426	0,000000	9,984290
1570546292880	0,411879	0,078453	9,945437
1570546292885	0,294199	0,078453	9,945437
1570546292890	0,254973	0,039227	9,945437
1570546292895	0,294199	0,117680	9,906593
1570546292900	0,294199	0,117680	9,867741
1570546292905	0,294199	0,039227	9,906593
1570546292910	0,333426	0,000000	9,906593
1570546292915	0,254973	0,000000	9,828897
1570546292920	0,333426	0,000000	9,906593
1570546292925	0,333426	-0,039227	9,984290
1570546292930	0,333426	0,039227	9,984290
1570546292935	0,333426	0,078453	9,984290
1570546292940	0,372653	0,000000	10,023134
1570546292945	0,372653	0,039227	9,945437
1570546292950	0,294199	0,078453	9,906593
1570546292955	0,372653	0,078453	9,828897
1570546292960	0,294199	0,039227	9,906593
1570546292965	0,333426	0,039227	9,945437
1570546292970	0,372653	0,039227	9,867741
1570546292974	0,333426	0,039227	9,906593
1570546292979	0,254973	0,039227	9,984290
1570546292984	0,254973	0,039227	9,984290
